account,admin,bump,capacity,config_event_count,current_amount_under_code,data_len,lamports,last_refill_predates_latest_update,last_refill_time,latest_config_event,mint_account,mint_event_count,minter_authority,pending_admin,previous_config_event,refill_per_second,remaining_amount
rmFr9LMyB9h4sYM6bQC9HPUMmoh5sddDHBqG8Gj4n7F,2apBGMsS6ti9RyF5TwQTDswXBWskiJP2LD4cUEDqYJjk,253,1000000000000000,0,1000000000000000,170,2074080,False,1772827775,,HVbpJAQGNpkgBaYBZQBR1t7yFdvaYVp2vCQQfKKEN4tM,0,5gUuDFHswKi2QMA1qJHf6FEVhNCrHnyAdfWniMaUUPE4,,,277777777777,999999992000000
3QaqDJS5angcPhW1HsMbB74vJbzWNcy1r5bwtATUro7d,2apBGMsS6ti9RyF5TwQTDswXBWskiJP2LD4cUEDqYJjk,255,500000000000000,0,500000000000000,170,2074080,False,1786741217,,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,3,HJDzApv7os9GhYStrgobMjzh7guweq8SMRSip9AU3Jt3,,,138888000000,492564414110000
6NZcfjuC77uQbYBNB2QXPGu4z9s5N89tt1V5p2PXE4hQ,2apBGMsS6ti9RyF5TwQTDswXBWskiJP2LD4cUEDqYJjk,255,177000000000,0,177000000000,170,2074080,False,1780947990,,5GgRAEmv8ZxF2PR5hY72Qs5x1bnQ6UK2RbTPoqJ3wSwW,0,HJDzApv7os9GhYStrgobMjzh7guweq8SMRSip9AU3Jt3,,,50000000,176999950000
74EHGqcq48SoMbqnTZCjCiCdsH2d8G2KdgBhcCifhngj,2apBGMsS6ti9RyF5TwQTDswXBWskiJP2LD4cUEDqYJjk,253,177000000000,0,177000000000,170,2074080,False,0,,5GgRAEmv8ZxF2PR5hY72Qs5x1bnQ6UK2RbTPoqJ3wSwW,0,5gUuDFHswKi2QMA1qJHf6FEVhNCrHnyAdfWniMaUUPE4,,,50000000,0
AmzfxrDiStgYQacy98kC3bXMvnc2xJPWgTihpRnKvhyU,2apBGMsS6ti9RyF5TwQTDswXBWskiJP2LD4cUEDqYJjk,254,500000000000000,0,500000000000000,170,2074080,False,1770386114,,HVbpJAQGNpkgBaYBZQBR1t7yFdvaYVp2vCQQfKKEN4tM,0,HJDzApv7os9GhYStrgobMjzh7guweq8SMRSip9AU3Jt3,,,138888000000,498942303644909
BfWsvypxRvQ4KUhyJ2gLeFEkhRx3LgfkVahXMj6Kz3LN,2apBGMsS6ti9RyF5TwQTDswXBWskiJP2LD4cUEDqYJjk,252,1000000000000000,0,1000000000000000,170,2074080,False,1771526178,,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,0,5gUuDFHswKi2QMA1qJHf6FEVhNCrHnyAdfWniMaUUPE4,,,277777777777,999999980000000
CzSG2jccXqr19Xcbr7E1yCPs4nbQj3ggsZtK7BGwe56L,2apBGMsS6ti9RyF5TwQTDswXBWskiJP2LD4cUEDqYJjk,254,1000000000000000,0,1000000000000000,170,2074080,False,0,,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,0,5gUuDFHswKi2QMA1qJHf6FEVhNCrHnyAdfWniMaUUPE4,,,277777777777,0
GdJywa1Mye4fA7ST5WuJw2eEsxbPPgNc7AsCT8D6Hngg,2apBGMsS6ti9RyF5TwQTDswXBWskiJP2LD4cUEDqYJjk,254,500000000000000,0,500000000000000,170,2074080,False,1786771126,,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,1,HJDzApv7os9GhYStrgobMjzh7guweq8SMRSip9AU3Jt3,,,138888000000,494000000000000
