prysm	OffchainLabs/prysm	v7.1.8	51b5a75ebbadf05af22bd2601b5baf7a9e99b66d
lighthouse	sigp/lighthouse	v8.2.1	b263df596671a2bd42bf1034e1cdc8188ba8a9b0
teku	Consensys/teku	26.8.0	b37812f9ff3ac75d898335dea11cf4cf47e6f983
nimbus	status-im/nimbus-eth2	v26.7.0	4110bc7828a45518d22d60e2f60438ae81ff17e9
lodestar	ChainSafe/lodestar	v1.46.0	3873dd5b032d0ad82581fc3416e9628b4f6f2642
grandine	grandinetech/grandine	2.0.6	70a5c7ea6fbf07c22ecea09b7cdd71c3af93cbb0
consensus-specs	ethereum/consensus-specs	v1.6.1	5fa6edcca8ab4cf548653e6680b17b9d3e04d225
