network	chain_id	block	proxy	implementation	proxy_bytes	implementation_bytes	version_ok	selectors_ok	error
Ethereum	1	25820555	0xa875Fb2204cE71679BE054d97f7fAFFeb6536D67	None	14437	14437	True	True	
Arbitrum One	42161	497676136	0x9736d9a45115E33411390EbD54e5A5C3A6E25aA6	None	14437	14437	True	True	
Base	8453	50365631	0x77449Ff075C0A385796Da0762BCB46fd5cc884c6	None	14314	14314	True	True	
BNB Smart Chain	56	117688246	0x5cb43Bae4f36E2f9f858232B4Dce0dbE27bb85e3	None	14437	14437	True	True	
